Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
42760,1243.0,1861.0,14927.844277883432,-1,443,6,446950,367.4718542097662,49.2225081105269
443,0.0,0.0,0.0,-1,42760,6,48890,0.0,81.81632235631008
42766,1243.0,1859.0,8679.639739934433,-1,443,6,617998,367.40658676730334,33.98069249415046
443,0.0,0.0,0.0,-1,42766,6,59176,0.0,67.5949709341625
42778,1243.0,1867.0,8158.689706772351,-1,443,6,391607,382.9926166970383,51.071610058042886
443,39.0,39.0,115.08566504759824,-1,42778,6,338878,22.516660498395403,11.80365795359982
42794,1243.0,1540.0,5080.469769464985,-1,443,6,344850,428.2342483134335,43.49717268377555
42780,670.0,1293.0,4400.162920530441,-1,443,6,611341,212.07810406126848,34.350714249494146
35852,2497.0,3451.0,1375.393535730041,-1,443,6,6276749,693.8515229481275,4.142271739717487
443,0.0,0.0,0.0,-1,35852,6,291511,0.0,6.860804566551519
41667,0.0,0.0,15629.19237993024,-1,53,17,14908,0.0,134.15615776764153
56549,0.0,0.0,6928.406466512702,-1,53,17,13856,0.0,144.3418013856813
57315,0.0,0.0,15211.85610759287,-1,53,17,15317,0.0,130.57387216817915
58548,295.0,295.0,23.39701166590569,-1,80,6,21840396,120.43324568683958,0.5494405870662785
55748,517.0,782.0,5510.344461684955,-1,443,6,1074343,179.20678399148684,15.823624298757473
34373,0.0,0.0,24559.777571825765,-1,53,17,6474,0.0,308.9280197713933
55865,0.0,0.0,3058.591136457769,-1,53,17,31387,0.0,63.72064867620352
53330,416.0,416.0,54.03053245238729,-1,80,6,21339786,169.831288832967,0.5623299127741955
60305,0.0,0.0,23878.92376681614,-1,53,17,8920,0.0,224.21524663677127
35294,694.0,959.0,7586.105085642924,-1,443,6,751901,227.32306917199972,25.26928412118085
58310,0.0,0.0,1082.8825212492357,-1,53,17,214243,0.0,9.335194148700309
45990,0.0,0.0,27754.415475189235,-1,53,17,7134,0.0,280.3476310625175
56893,0.0,0.0,10072.6670983524,-1,53,17,13899,0.0,143.89524426217713
46586,0.0,0.0,24385.523514611963,-1,53,17,5167,0.0,387.0718018192375
46045,0.0,0.0,13458.572830506098,-1,53,17,14266,0.0,140.19346698443854
38355,0.0,0.0,4126.3517359134885,-1,53,17,28112,0.0,71.14399544678429
443,31.0,31.0,773.2794532165931,-1,45806,6,40089,0.0,74.83349547257353
38388,0.0,0.0,20936.6391184573,-1,53,17,5445,0.0,367.30945821854914
36914,413.0,1239.0,213.88404799059293,-1,80,6,15639315,220.75778581966253,0.9591212914376364
39527,0.0,0.0,26115.74301128004,-1,53,17,8156,0.0,245.21824423737127
42772,670.0,1294.0,8238.954781939543,-1,443,6,358662,205.0240340678491,66.91536878732623
56778,0.0,0.0,37866.74374909669,-1,53,17,6919,0.0,289.0591125885244
44784,1357.0,4521.0,23690.56490767306,-1,443,17,581033,607.996874991969,37.86359810888538
36737,0.0,0.0,34826.68410725965,-1,53,17,6116,0.0,327.01111837802483
38778,0.0,0.0,42610.57173678533,-1,53,17,5562,0.0,359.5828838547285
53695,61.0,61.0,15.037822584534709,-1,53,17,36574444,0.0,0.1093659824329797
51043,0.0,0.0,6245.496036512131,-1,53,17,16652,0.0,120.10569300984866
38828,0.0,0.0,26455.680553838545,-1,53,17,8089,0.0,247.2493509704537
38139,0.0,0.0,17877.665687651643,-1,53,17,7831,0.0,255.3952241093092
60569,1357.0,25361.0,117314.03464782982,-1,443,17,22114805,347.0311513642894,94.82335476166304
60976,0.0,0.0,454.9741470419572,-1,123,17,211001,0.0,9.478628063374108
36924,412.0,824.0,141.96041982785292,-1,80,6,15680427,201.03541502739785,0.8928328291059932
46624,708.0,973.0,4920.227274634707,-1,443,6,953208,244.03743126238413,17.83451250933689
38292,0.0,0.0,18238.51823851824,-1,53,17,10582,0.0,189.000189000189
44439,0.0,0.0,18262.679788039364,-1,53,17,10568,0.0,189.25056775170327
57202,0.0,0.0,43866.31219141663,-1,53,17,5266,0.0,379.794910748196
57445,0.0,0.0,16754.576481538938,-1,53,17,6446,0.0,310.26993484331365
43529,0.0,0.0,11594.202898550724,-1,53,17,10350,0.0,193.23671497584544
33082,707.0,972.0,8271.201105969825,-1,443,6,721177,220.9393079055372,29.119065083883708
45001,0.0,0.0,5064.473258862828,-1,53,17,27841,0.0,71.83650012571387
45327,0.0,0.0,4722.290188402251,-1,53,17,40870,0.0,48.93564962074872
34765,0.0,0.0,45729.7974524953,-1,53,17,4789,0.0,417.6237210273544
40244,0.0,0.0,42253.52112676056,-1,53,17,4544,0.0,440.1408450704225
53564,1357.0,1898.0,33866.72693297762,-1,443,17,362834,452.652105453436,55.12162586747659
53346,416.0,416.0,54.07563563377091,-1,80,6,21321987,169.831288832967,0.5627993300999574
43424,697.0,962.0,8882.902120474748,-1,443,6,644384,228.2922712469941,29.485524159507374
34910,1357.0,4706.0,36253.89441893968,-1,443,17,460916,601.1462082026,56.40941082539986
34644,0.0,0.0,19055.63633580776,-1,53,17,13067,0.0,153.05731996632738
53783,0.0,0.0,7748.144523285214,-1,53,17,24522,0.0,81.55941603458119
58969,0.0,0.0,32228.778937812072,-1,53,17,6609,0.0,302.61764260856404
46844,0.0,0.0,20333.36242254996,-1,53,17,11459,0.0,174.53529976437733
45326,0.0,0.0,23564.0648011782,-1,53,17,8148,0.0,245.45900834560624
41943,0.0,0.0,10997.304582210243,-1,53,17,9275,0.0,215.63342318059296
443,586.0,586.0,8655.06749771069,-1,42794,6,67706,414.3645737753168,59.07895902874191
53552,0.0,0.0,22039.671408535363,-1,53,17,9982,0.0,200.36064916850333
53181,0.0,0.0,4222.839464354267,-1,53,17,44283,0.0,45.16405844229162
60135,0.0,0.0,26459.30115128257,-1,53,17,9902,0.0,201.97939810139368
34252,416.0,416.0,60.53313690600989,-1,80,6,21558440,169.831288832967,0.5566265462621599
45784,544.0,4876.0,1754.1590329861235,-1,443,6,6377985,162.99869566937022,11.445621148372096
40851,0.0,0.0,39746.22130994588,-1,53,17,5359,0.0,373.2039559619332
50706,0.0,0.0,27794.031597425397,-1,53,17,6836,0.0,292.5687536571094
43085,0.0,0.0,22395.0966525224,-1,53,17,8484,0.0,235.73785950023571
