Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.140.130-192.168.140.2-38155-53-17,192.168.140.130,38155,192.168.140.2,53,17,25/09/2024 01:04:35 AM,8842,0,2,0.0,137.0,0,0,0,0,94.0,43.0,68.5,36.062445840513924,15494.23207419136,226.19316896629724,8842.0,0.0,8842.0,8842.0,0,0,0,0,0,8842.0,8842.0,0.0,8842.0,8842.0,0,0,0,0,0,16,0.0,226.19316896629724,43.0,94.0,60.0,29.444863728670914,867.0,0,0,0,0,0,0,0,0,0.0,90.0,0.0,68.5,0,0,0,0,0,0,0,0,2,137,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-192.168.140.2-42545-53-17,192.168.140.130,42545,192.168.140.2,53,17,25/09/2024 01:04:33 AM,6599,0,2,0.0,124.0,0,0,0,0,70.0,54.0,62.0,11.313708498984761,18790.72586755569,303.07622367025306,6599.0,0.0,6599.0,6599.0,0,0,0,0,0,6599.0,6599.0,0.0,6599.0,6599.0,0,0,0,0,0,16,0.0,303.07622367025306,54.0,70.0,59.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,0,0.0,89.0,0.0,62.0,0,0,0,0,0,0,0,0,2,124,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-192.168.140.2-49812-53-17,192.168.140.130,49812,192.168.140.2,53,17,25/09/2024 01:04:29 AM,26956,0,2,0.0,108.0,0,0,0,0,68.0,40.0,54.0,19.79898987322333,4006.5291586288768,74.19498441905327,26956.0,0.0,26956.0,26956.0,0,0,0,0,0,26956.0,26956.0,0.0,26956.0,26956.0,0,0,0,0,0,16,0.0,74.19498441905327,40.0,68.0,49.333333333333336,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,0.0,74.0,0.0,54.0,0,0,0,0,0,0,0,0,2,108,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-192.178.24.196-39762-443-17,192.168.140.130,39762,192.178.24.196,443,17,25/09/2024 01:04:57 AM,537217,13,32,5404.0,33790.0,1357.0,31.0,415.6923076923076,586.1593049412683,1357.0,24.0,1055.9375,536.2179947588721,72957.48273044227,83.76503349670618,12209.477272727272,24624.848817374314,111910.0,2.0,418128.0,34844.00000000001,56113.89211562175,198760.0,386.0,537217.0,17329.58064516129,36110.537520022415,150134.0,2.0,0,0,0,0,104,256,24.19878745460401,59.56624604210217,24.0,1357.0,881.5434782608693,615.6644723484353,379042.7425120773,0,0,0,0,0,0,0,0,2.0,901.1333333333333,415.6923076923077,1055.9375,0,0,0,0,0,0,13,5404,32,33790,-1,-1,13,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-192.168.140.2-47102-53-17,192.168.140.130,47102,192.168.140.2,53,17,25/09/2024 01:04:42 AM,10092,0,2,0.0,213.0,0,0,0,0,149.0,64.0,106.5,60.10407640085654,21105.826397146255,198.17677368212446,10092.0,0.0,10092.0,10092.0,0,0,0,0,0,10092.0,10092.0,0.0,10092.0,10092.0,0,0,0,0,0,16,0.0,198.17677368212446,64.0,149.0,92.33333333333333,49.074772881118186,2408.333333333333,0,0,0,0,0,0,0,0,0.0,138.5,0.0,106.5,0,0,0,0,0,0,0,0,2,213,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-192.168.140.2-46419-53-17,192.168.140.130,46419,192.168.140.2,53,17,25/09/2024 01:04:34 AM,19188,0,2,0.0,192.0,0,0,0,0,138.0,54.0,96.0,59.39696961966999,10006.253908692934,104.23181154888472,19188.0,0.0,19188.0,19188.0,0,0,0,0,0,19188.0,19188.0,0.0,19188.0,19188.0,0,0,0,0,0,16,0.0,104.23181154888472,54.0,138.0,82.0,48.49742261192856,2352.0,0,0,0,0,0,0,0,0,0.0,123.0,0.0,96.0,0,0,0,0,0,0,0,0,2,192,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
142.250.181.174-192.168.140.130-443-58104-6,192.168.140.130,58104,142.250.181.174,443,6,25/09/2024 01:04:38 AM,1037076,10,11,782.0,7228.0,517.0,0.0,78.2,163.33115644807842,4236.0,0.0,657.0909090909089,1282.1922207333387,7723.638383300741,20.2492392071555,51853.8,152711.99184967348,685710.0,16.0,995502.0,110611.33333333334,220029.8147763162,685710.0,383.0,996624.0,99662.40000000001,210051.76027626038,686488.0,405.0,0,0,0,0,200,244,9.642494860550238,10.606744346605263,0.0,4236.0,364.0909090909091,940.4785969611382,884499.9913419911,0,1,0,0,0,0,0,0,1.0,381.42857142857144,78.2,657.0909090909091,0,0,0,0,0,0,10,782,11,7228,-1,64240,4,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-192.168.140.2-48387-53-17,192.168.140.130,48387,192.168.140.2,53,17,25/09/2024 01:04:57 AM,8364,0,2,0.0,114.0,0,0,0,0,71.0,43.0,57.0,19.79898987322333,13629.842180774749,239.12003825920613,8364.0,0.0,8364.0,8364.0,0,0,0,0,0,8364.0,8364.0,0.0,8364.0,8364.0,0,0,0,0,0,16,0.0,239.12003825920613,43.0,71.0,52.333333333333336,16.165807537309522,261.33333333333337,0,0,0,0,0,0,0,0,0.0,78.5,0.0,57.0,0,0,0,0,0,0,0,0,2,114,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-34.107.243.93-54240-443-6,192.168.140.130,54240,34.107.243.93,443,6,25/09/2024 01:04:34 AM,3786671,9,10,1340.0,4006.0,620.0,0.0,148.88888888888889,243.8223966560724,1659.0,0.0,400.6,649.5121588118611,1411.7941590383743,5.017599891831109,210370.6111111111,525427.7691921619,2181741.0,17.0,3740036.0,467504.5,730953.6562038077,2181741.0,872.0,3786654.0,420739.3333333333,698279.570999503,2182415.0,609.0,0,0,0,0,180,224,2.3767578434989467,2.640842048332163,0.0,1659.0,267.29999999999995,494.58745168920433,244616.74736842103,0,1,0,0,0,0,0,0,1.0,281.36842105263156,148.88888888888889,400.6,0,0,0,0,0,0,9,1340,10,4006,-1,64240,4,0,0,0,0,0,0,0,0,0,No Label
192.168.140.130-192.178.24.226-36729-443-17,192.168.140.130,36729,192.178.24.226,443,17,25/09/2024 01:04:51 AM,2028857,15,19,2409.0,9162.0,1357.0,31.0,160.6,338.5308173353119,1357.0,24.0,482.21052631578954,564.4695227426041,5703.211216956149,16.758204249979176,61480.515151515145,182035.0300100439,1055993.0,3.0,1916974.0,136926.7142857143,288953.6017658381,1126035.0,179.0,2028857.0,112714.27777777778,259335.80702742413,1121783.0,3.0,0,0,0,0,120,152,7.393325404402578,9.364878845576598,24.0,1357.0,369.3714285714285,520.4868244766446,270906.53445378144,0,0,0,0,0,0,0,0,1.0,380.2352941176471,160.6,482.2105263157895,0,0,0,0,0,0,15,2409,19,9162,-1,-1,15,0,0,0,0,0,0,0,0,0,No Label
