Source Port,Fwd Packet Length Max,Total Length of Fwd Packets,Flow Bytes/s,Init_Win_bytes_forward,Destination Port,Protocol,Flow Duration,Fwd Packet Length Std,Flow Packets/s
0,0.0,0.0,0.0,-1,0,0,59587544,0.0,0.0839101541087177
0,0.0,0.0,0.0,-1,0,0,3761915,0.0,167.99954278605443
0,0.0,0.0,0.0,-1,0,0,40218094,0.0,0.1243221521139216
0,0.0,0.0,0.0,-1,0,0,39593495,0.0,0.9344969419850409
0,0.0,0.0,0.0,-1,0,0,28816444,0.0,0.1388096324445861
0,0.0,0.0,0.0,-1,0,0,207102,0.0,19.314154378035944
0,0.0,0.0,0.0,-1,0,0,1039847,0.0,1.9233598789052624
0,0.0,0.0,0.0,-1,0,0,4011,0.0,498.6287708800798
0,0.0,0.0,0.0,-1,0,0,18557,0.0,107.77604138599987
0,0.0,0.0,0.0,-1,0,0,2946,0.0,2376.103190767142
0,0.0,0.0,0.0,-1,0,0,236210,0.0,8.467042038863722
0,0.0,0.0,0.0,-1,0,0,43537114,0.0,0.0459378175595194
0,0.0,0.0,0.0,-1,0,0,12928350,0.0,0.1546987821338376
0,0.0,0.0,0.0,-1,0,0,198963,0.0,15.078180365193528
0,0.0,0.0,0.0,-1,0,0,76423738,0.0,0.0523397586231649
0,0.0,0.0,0.0,-1,0,0,1051305,0.0,4.755993741112237
0,0.0,0.0,0.0,-1,0,0,1002050,0.0,1.9959083878049997
0,0.0,0.0,0.0,-1,0,0,1623540,0.0,1.8478140359954172
0,0.0,0.0,0.0,-1,0,0,210020,0.0,19.0458051614132
0,0.0,0.0,0.0,-1,0,0,111420149,0.0,0.0807753362455115
0,0.0,0.0,0.0,-1,0,0,315210,0.0,19.03492909488912
59676,0.0,0.0,24125.874125874125,-1,53,17,5720,0.0,349.65034965034965
0,0.0,0.0,0.0,-1,0,0,905895,0.0,24.285375236644423
0,0.0,0.0,0.0,-1,0,0,576,0.0,5208.333333333333
0,0.0,0.0,0.0,-1,0,0,76614983,0.0,0.1566273270595126
0,0.0,0.0,0.0,-1,0,0,105278,0.0,18.997321377685747
0,0.0,0.0,0.0,-1,0,0,76204041,0.0,0.0262453273311319
137,50.0,100.0,49.91522730562595,-1,137,17,3005095,0.0,0.998304546112519
0,0.0,0.0,0.0,-1,0,0,583113,0.0,5.144800407468193
0,0.0,0.0,0.0,-1,0,0,23458738,0.0,0.4689084297714566
